onset	duration	trial_type	value	sample
114.58	1.0	Cue_Audio_Sample_Track_1	1	28645
119.576	4.0	Task_Recall_Track_1	10	29894
124.596	0.0	Rest	9	31149
127.088	0.0	Trial_End_10	17	31772
127.088	0.0	Trial_Start_11_Track_Track_5	47	31772
127.088	1.0	Cue_Audio_Sample_Track_5	5	31772
132.092	4.0	Task_Recall_Track_5	14	33023
137.096	0.0	Rest	9	34274
139.596	0.0	Trial_End_11	18	34899
139.596	0.0	Trial_Start_12_Track_Track_3	48	34899
139.596	1.0	Cue_Audio_Sample_Track_3	3	34899
144.596	4.0	Task_Recall_Track_3	12	36149
149.604	0.0	Rest	9	37401
152.112	0.0	Trial_End_12	19	38028
152.112	0.0	Trial_Start_13_Track_Track_2	49	38028
152.112	1.0	Cue_Audio_Sample_Track_2	2	38028
157.104	4.0	Task_Recall_Track_2	11	39276
162.108	0.0	Rest	9	40527
164.628	0.0	Trial_End_13	20	41157
164.628	0.0	Trial_Start_14_Track_Track_4	50	41157
164.628	1.0	Cue_Audio_Sample_Track_4	4	41157
169.628	4.0	Task_Recall_Track_4	13	42407
174.624	0.0	Rest	9	43656
177.124	0.0	Trial_End_14	21	44281
177.124	0.0	Trial_Start_15_Track_Track_2	51	44281
177.124	1.0	Cue_Audio_Sample_Track_2	2	44281
182.12	4.0	Task_Recall_Track_2	11	45530
187.12	0.0	Rest	9	46780
189.624	0.0	Trial_End_15	22	47406
189.624	0.0	Trial_Start_16_Track_Track_6	52	47406
189.624	1.0	Cue_Audio_Sample_Track_6	6	47406
194.62	4.0	Task_Recall_Track_6	15	48655
199.628	0.0	Rest	9	49907
202.132	0.0	Trial_End_16	23	50533
202.132	0.0	Trial_Start_17_Track_Track_5	53	50533
202.132	1.0	Cue_Audio_Sample_Track_5	5	50533
207.136	4.0	Task_Recall_Track_5	14	51784
212.136	0.0	Rest	9	53034
214.636	0.0	Trial_End_17	24	53659
214.636	0.0	Trial_Start_18_Track_Track_6	54	53659
214.636	1.0	Cue_Audio_Sample_Track_6	6	53659
219.636	4.0	Task_Recall_Track_6	15	54909
224.64	0.0	Rest	9	56160
227.14	0.0	Trial_End_18	25	56785
227.14	0.0	Trial_Start_19_Track_Track_2	55	56785
227.14	1.0	Cue_Audio_Sample_Track_2	2	56785
232.144	4.0	Task_Recall_Track_2	11	58036
237.14	0.0	Rest	9	59285
239.636	0.0	Trial_End_19	26	59909
239.636	0.0	Trial_Start_20_Track_Track_4	57	59909
239.636	1.0	Cue_Audio_Sample_Track_4	4	59909
244.64	4.0	Task_Recall_Track_4	13	61160
249.652	0.0	Rest	9	62413
252.156	0.0	Trial_End_20	28	63039
252.156	0.0	Trial_Start_21_Track_Track_6	58	63039
252.156	1.0	Cue_Audio_Sample_Track_6	6	63039
257.152	4.0	Task_Recall_Track_6	15	64288
262.164	0.0	Rest	9	65541
264.66	0.0	Trial_End_21	29	66165
264.66	0.0	Trial_Start_22_Track_Track_3	59	66165
264.66	1.0	Cue_Audio_Sample_Track_3	3	66165
269.672	4.0	Task_Recall_Track_3	12	67418
274.668	0.0	Rest	9	68667
277.168	0.0	Trial_End_22	30	69292
277.168	0.0	Trial_Start_23_Track_Track_5	60	69292
277.168	1.0	Cue_Audio_Sample_Track_5	5	69292
282.168	4.0	Task_Recall_Track_5	14	70542
287.176	0.0	Rest	9	71794
289.668	0.0	Trial_End_23	31	72417
289.668	0.0	Trial_Start_24_Track_Track_6	61	72417
289.668	1.0	Cue_Audio_Sample_Track_6	6	72417
294.668	4.0	Task_Recall_Track_6	15	73667
299.672	0.0	Rest	9	74918
302.172	0.0	Trial_End_24	32	75543
302.172	0.0	Trial_Start_25_Track_Track_6	62	75543
302.172	1.0	Cue_Audio_Sample_Track_6	6	75543
307.168	4.0	Task_Recall_Track_6	15	76792
312.184	0.0	Rest	9	78046
314.684	0.0	Trial_End_25	33	78671
314.684	0.0	Trial_Start_26_Track_Track_1	63	78671
314.684	1.0	Cue_Audio_Sample_Track_1	1	78671
319.684	4.0	Task_Recall_Track_1	10	79921
324.684	0.0	Rest	9	81171
327.192	0.0	Trial_End_26	34	81798
327.192	0.0	Trial_Start_27_Track_Track_1	64	81798
327.192	1.0	Cue_Audio_Sample_Track_1	1	81798
332.192	4.0	Task_Recall_Track_1	10	83048
337.18	0.0	Rest	9	84295
339.684	0.0	Trial_End_27	35	84921
339.684	0.0	Trial_Start_28_Track_Track_3	65	84921
339.684	1.0	Cue_Audio_Sample_Track_3	3	84921
344.688	4.0	Task_Recall_Track_3	12	86172
349.684	0.0	Rest	9	87421
352.188	0.0	Trial_End_28	36	88047
352.188	0.0	Trial_Start_29_Track_Track_3	66	88047
352.188	1.0	Cue_Audio_Sample_Track_3	3	88047
357.184	4.0	Task_Recall_Track_3	12	89296
362.18	0.0	Rest	9	90545
364.684	0.0	Trial_End_29	37	91171
364.684	0.0	Trial_Start_30_Track_Track_1	68	91171
364.684	1.0	Cue_Audio_Sample_Track_1	1	91171
369.688	4.0	Task_Recall_Track_1	10	92422
374.684	0.0	Rest	9	93671
377.188	0.0	Trial_End_30	39	94297
377.188	0.0	Experiment_End	7	94297
