onset	duration	trial_type	value	sample
372.548	0.1	Cue_Audio_Sample_Track_5	5	93137
377.556	0.1	Task_Recall_Track_5	14	94389
382.572	0.1	Rest	9	95643
385.076	0.1	Trial_End_26	34	96269
385.076	0.1	Trial_Start_27_Track_Track_3	64	96269
385.076	0.1	Cue_Audio_Sample_Track_3	3	96269
390.072	0.1	Task_Recall_Track_3	12	97518
395.084	0.1	Rest	9	98771
397.58	0.1	Trial_End_27	35	99395
397.58	0.1	Trial_Start_28_Track_Track_1	65	99395
397.58	0.1	Cue_Audio_Sample_Track_1	1	99395
402.596	0.1	Task_Recall_Track_1	10	100649
407.592	0.1	Rest	9	101898
410.088	0.1	Trial_End_28	36	102522
410.088	0.1	Trial_Start_29_Track_Track_6	66	102522
410.088	0.1	Cue_Audio_Sample_Track_6	6	102522
415.088	0.1	Task_Recall_Track_6	15	103772
420.1	0.1	Rest	9	105025
422.612	0.1	Trial_End_29	37	105653
422.612	0.1	Trial_Start_30_Track_Track_1	68	105653
422.612	0.1	Cue_Audio_Sample_Track_1	1	105653
427.608	0.1	Task_Recall_Track_1	10	106902
432.612	0.1	Rest	9	108153
435.108	0.1	Trial_End_30	39	108777
435.108	0.1	Experiment_End	7	108777
